country_alpha3,country_name,year,1_1_ffp_x1,1_2_ucdp,1_3_wef_gci_subpillar:_5._security,1_4_political_terror,1_5_ffp_p3,protection,2_1_1_wef_gcr_2nd_pillar:_infrastructure,2_1_2_un:_telecom,"2_2_1_government_expend._on_primary_and_secondary_education,_total_(%_of_gdp)",2_2_2_wef_gcr_indicator_quality_of_primary_education,2_3_1_domestic_general_government_health_expenditure_(%_of_gdp),2_3_2_out_of_pocket_expenditure_(%_of_total_national_health_care_spending),2_4_1_public_social_protection_(excl._health)_expenditure_(%_of_gdp),2_4_2_coverage_of_older_persons_by_sp_benefits,2_5_1_public_expenditure_on_socials_safety_nets_(%_of_gdp),2_5_2_vulnerable_persons_covered_by_social_assistance,2_6_1_share_of_wage_employment_on_work_age_pop,2_6_2_working_poverty_head_count_rate_(percentage_of_persons_living_in_poverty_in_spite_of_being_employed),2_7_1_wef_gci_subpillar:_1._property_rights,2_7_2_wef_gci_subpillars_2_and_3._ethics_and_corruption;_undue_influence,2_8_1_wef_gci_subpillar:_1._domestic_competition,2_8_2_wef_gci_subpillar:_4._government_efficiency,provision,3_1_v_dem_index_on_electoral_democracy,3_2_wb_voice_and_accountability_indicator,participation
BWA,Botswana,2010,0.42000000000000004,1.0,0.8883333333333334,0.75,0.52,0.7156666666666667,0.5057142857142857,0.10809,0.973268,0.5842857142857143,0.7129909999999999,0.9500643682,0.6594392795883361,1.0,0.6190918445587158,0.084,0.6917339,0.885,0.7014285714285714,0.6757142857142858,0.6171428571428572,0.6414285714285715,0.6505870423788336,0.72,0.6030519604,0.6615259802
BRA,Brazil,2010,0.58,1.0,0.7483333333333334,0.25,0.45999999999999996,0.6076666666666667,0.5742857142857142,0.2538,0.841248,0.3514285714285714,0.7154021260000001,0.7061479378,1.0,0.7829999999999999,0.25544664859771726,0.37,0.6986615,0.9773,0.5514285714285714,0.42142857142857143,0.49000000000000005,0.42,0.5880986025605716,0.877,0.6254710316,0.7512355157999999
BRN,Brunei Darussalam,2010,0.53,1.0,1.0,1.0,0.30999999999999994,0.768,0.6185714285714285,0.27032,0.30831200000000003,0.7128571428571429,0.41800918600000003,0.9173865128,,,,,0.9189642,,0.6342857142857143,0.6642857142857144,0.5771428571428572,0.5828571428571429,0.6284963415666668,,0.3889370918,0.3889370918
BGR,Bulgaria,2010,0.42000000000000004,1.0,0.6966666666666668,0.75,0.54,0.6813333333333333,0.5099999999999999,0.33704,0.5065120000000001,0.5114285714285715,0.788593864,0.5685865402000001,1.0,1.0,0.21473228931427002,0.28800000000000003,0.8786179,1.0,0.4342857142857143,0.39499999999999996,0.5599999999999999,0.43285714285714283,0.5891033763803561,0.689,0.6177538752,0.6533769376
BFA,Burkina Faso,2010,0.20999999999999996,1.0,0.8366666666666667,1.0,0.3400000000000001,0.6773333333333333,0.30428571428571427,0.02012,0.548752,0.41571428571428576,0.261261868,0.698312664,,0.027000000000000003,0.3697366714477539,0.036000000000000004,0.1130221,0.49970000000000003,0.5542857142857143,0.38571428571428573,0.5542857142857143,0.49714285714285716,0.3320208671797703,0.575,0.46590681079999996,0.5204534054
BDI,Burundi,2010,0.13,0.7330506380247324,0.5683333333333335,0.5,0.22999999999999998,0.43227679427161314,0.31285714285714283,0.00904,0.9648,0.3271428571428571,0.397057938,0.7179969214999999,0.49400000000000005,0.04,0.4891377925872803,,0.13249180000000002,0.2633,0.37285714285714283,0.3092857142857143,0.43571428571428567,0.40714285714285714,0.38512264029216,0.338,0.33238931899999996,0.3351946595
KHM,Cambodia,2010,0.29999999999999993,0.9274075933601286,0.73,0.5,0.22999999999999998,0.5374815186720256,0.38571428571428573,0.0297,0.306722,0.41000000000000003,0.272566462,0.4809053421,0.060556,0.032,0.17919692993164063,,0.39416890000000004,0.6409,,0.4371428571428571,0.5485714285714286,0.5071428571428571,0.331351678104848,0.307,0.3353805304,0.3211902652
CMR,Cameroon,2010,0.29999999999999993,1.0,0.795,0.75,0.21999999999999997,0.6129999999999999,0.3457142857142857,0.0411,0.547814,0.51,0.085429352,0.23949508669999997,0.23318402203856747,0.13,0.0061492912471294405,0.002,0.2181795,0.7082999999999999,0.48142857142857143,0.37,0.5371428571428571,0.45,0.30662106039196324,0.331,0.31001558300000004,0.3205077915
CAN,Canada,2010,0.85,1.0,0.94,1.0,0.81,0.9199999999999999,0.8285714285714285,0.6799,,0.8042857142857143,1.0,0.8451147079,1.0,0.9209999999999999,,0.99,0.8456556000000001,1.0,0.8457142857142858,0.7621428571428571,0.7300000000000001,0.6685714285714285,0.8572026085294642,0.832,0.7767136336,0.8043568167999999
CAF,Central African Republic,2010,0.040000000000000036,0.5730069979178734,,0.25,0.11999999999999988,0.24575174947946832,,0.00452,0.18794,,0.11697917,0.37729270940000004,,,0.5165109157562255,,0.059616239999999994,0.3919,,,,,0.23637299509124512,0.341,0.3011221052,0.3210610526
TCD,Chad,2010,0.030000000000000027,0.4341274015924109,0.6233333333333334,0.25,0.040000000000000036,0.2754921469851489,0.2614285714285714,0.01822,0.404904,0.41000000000000003,0.17038045,0.3241545868,0.1306,0.016,0.14949174,,0.09506622,0.6477999999999999,0.3385714285714286,0.3442857142857143,0.4185714285714286,0.40285714285714286,0.26761393890714286,0.279,0.2515453338,0.2652726669
CHL,Chile,2010,0.6699999999999999,1.0,0.9683333333333333,1.0,0.66,0.8596666666666666,0.67,0.27109,0.605992,0.37285714285714283,0.638255978,0.6553237152,1.0,0.406,0.728474760055542,0.188,0.7457682,0.9971,0.6742857142857143,0.6799999999999999,0.687142857142857,0.65,0.6231431479713285,0.893,0.7269622564,0.8099811282
CHN,China,2010,0.69,0.9994119324711258,0.8600000000000001,0.25,0.09999999999999998,0.5798823864942253,0.6342857142857143,0.19125,,0.6714285714285715,0.439197636,0.591999855,0.667432344147902,1.0,0.24880714416503907,,0.4759652,0.8694999999999999,0.6771428571428572,0.5664285714285714,0.6185714285714285,0.5971428571428571,0.5730867434316596,0.094,0.1895586014,0.1417793007
COL,Colombia,2010,0.19999999999999996,0.5401337594503774,0.48833333333333345,0.0,0.30999999999999994,0.30769341855674215,0.5128571428571428,0.2421,0.701398,0.46714285714285714,1.0,0.8299644279,1.0,0.517,0.6890779495239258,0.141,0.4763584,0.9492,0.5071428571428571,0.4114285714285714,0.4928571428571429,0.48142857142857143,0.5886847450175668,0.627,0.4892506272,0.5581253136
ZAR,"Congo, Dem. Rep.",2010,0.030000000000000027,0.7387936111284089,0.7316666666666667,0.0,0.05999999999999994,0.31209205555901515,0.2457142857142857,0.01399,0.204562,0.5114285714285715,0.079571652,0.6294969939999999,,,0.13607640266418458,0.055999999999999994,0.182354,0.15659999999999996,0.5228571428571429,0.35714285714285715,0.5842857142857143,0.4714285714285714,0.2965362993943805,0.363,0.24210383900000002,0.3025519195
COG,"Congo, Rep.",2010,0.2599999999999999,1.0,,0.75,0.22999999999999998,0.5599999999999999,,0.05902,1.0,,0.165677596,0.5784553146,,,0.007603468000888824,,0.24096820000000002,0.6052,,,,,0.3723548046601778,0.256,0.30915076739999997,0.2825753837
CRI,Costa Rica,2010,0.54,1.0,0.8033333333333335,0.75,0.67,0.7526666666666667,0.5171428571428571,0.24237,0.877124,0.6742857142857143,1.0,0.7461568642,1.0,0.688,0.2732069492340088,0.665,0.7449859,0.9952,0.5842857142857143,0.61,0.5857142857142856,0.5585714285714286,0.6726277320896255,0.915,0.716169095,0.8155845475000001
CIV,Cote d'Ivoire,2010,0.04999999999999993,0.8599033744875377,0.6183333333333334,0.5,0.16999999999999993,0.4396473415641742,0.43571428571428567,0.06224,0.671686,0.44857142857142857,0.117520332,0.41487438200000004,,,0.002,,0.23428149999999998,0.6836,0.4257142857142857,0.29714285714285715,0.5257142857142857,0.41428571428571426,0.33823893365306124,0.433,0.3119275212,0.37246376059999997
HRV,Croatia,2010,0.45999999999999996,1.0,0.9066666666666668,1.0,0.55,0.7833333333333334,0.6614285714285714,0.422,,0.6614285714285714,1.0,0.8604322243,1.0,0.5760000000000001,0.6454290390014649,,0.8192241,1.0,0.5457142857142857,0.42214285714285715,0.5314285714285715,0.40285714285714286,0.6784339358582189,0.832,0.6070967198,0.7195483599
CYP,Cyprus,2010,0.11999999999999988,1.0,0.9550000000000002,1.0,0.64,0.7430000000000001,0.7285714285714284,0.43266,0.995646,0.7657142857142858,0.596307516,0.5689403152,1.0,0.914,,0.24100000000000002,0.8244176,1.0,0.7428571428571429,0.6742857142857143,0.7114285714285715,0.6414285714285715,0.6923910715928572,0.851,0.7129753352,0.7819876675999999
CZE,Czech Republic,2010,0.6499999999999999,1.0,0.9000000000000001,1.0,0.67,0.844,0.6828571428571428,0.4258,0.5197160000000001,0.7028571428571428,1.0,0.8474912453,1.0,1.0,0.15703710317611694,,0.8213715,1.0,0.6057142857142858,0.4407142857142857,0.6228571428571429,0.4542857142857143,0.6523586666211217,0.892,0.7113249778,0.8016624889
DNK,Denmark,2010,0.77,1.0,1.0,1.0,0.87,0.9279999999999999,0.8128571428571428,0.69879,0.9808599999999998,0.7442857142857143,1.0,0.8561428928,1.0,0.968,1.0,0.637,0.9087215000000001,1.0,0.8442857142857143,0.8564285714285714,0.7300000000000001,0.7042857142857143,0.8588535781214286,0.918,0.8133571624,0.8656785812000001
DOM,Dominican Republic,2010,0.3999999999999999,1.0,0.6266666666666666,0.5,0.35,0.5753333333333333,0.40428571428571425,0.16578,0.31947400000000004,0.2814285714285714,0.5032774919999999,0.5608319473000001,0.48200000000000004,,0.3186408519744873,,0.5518687,0.9822,0.5114285714285715,0.34500000000000003,0.5214285714285715,0.44,0.4492678294887752,0.601,0.529169631,0.5650848155
ECU,Ecuador,2010,0.39,1.0,0.6766666666666667,0.75,0.42000000000000004,0.6473333333333333,0.4542857142857143,0.15954,0.408948,0.3814285714285714,0.566955042,0.5265009307999999,0.437,0.52,0.29986422061920165,0.113,0.548261,0.9449,0.42,0.33499999999999996,0.47285714285714286,0.3885714285714286,0.43606950316012866,0.592,0.4701401264,0.5310700632
EGY,"Egypt, Arab Rep.",2010,0.21999999999999997,1.0,0.7916666666666667,0.25,0.18000000000000005,0.4883333333333334,0.5671428571428572,0.12555,,0.35285714285714287,0.273537684,0.3737189865,1.0,0.375,0.613902997970581,,0.6114088,0.9824,0.6114285714285714,0.4935714285714286,0.5828571428571429,0.5357142857142857,0.5291156273668584,0.211,0.2848966598,0.2479483299
SLV,El Salvador,2010,0.49,1.0,0.5166666666666667,0.75,0.32999999999999996,0.6173333333333334,0.59,0.1923,0.562206,0.39142857142857146,0.888706112,0.6725510405999999,1.0,,0.2819554805755615,,0.5809536,0.9623,0.5242857142857142,0.42,0.5971428571428571,0.48857142857142855,0.5896472678237309,0.613,0.5287210524,0.5708605261999999
EST,Estonia,2010,0.6499999999999999,1.0,1.0,1.0,0.67,0.8640000000000001,0.7057142857142857,0.62729,0.774796,0.7614285714285715,0.9307620999999999,0.7808175087,1.0,1.0,0.6228785037994384,0.917,0.9086194000000001,1.0,0.7285714285714285,0.6478571428571429,0.67,0.6185714285714285,0.7933941481026434,0.875,0.7288990736000001,0.8019495368
SWZ,Eswatini,2010,,1.0,0.8733333333333334,0.5,,0.7911111111111112,0.46571428571428564,0.06123,0.988558,0.58,0.845618058,0.8954457855,,,0.30091,,0.6682908000000001,0.6801,0.6171428571428572,0.4635714285714286,0.5242857142857142,0.5071428571428571,0.5642085561683673,0.126,0.2583205938,0.1921602969
ETH,Ethiopia,2010,0.20999999999999996,0.755885294018347,0.8533333333333334,0.5,0.13000000000000012,0.489843725470336,0.37857142857142856,0.00731,0.515454,0.46714285714285714,0.188792742,0.5770979309,0.31721786015164277,0.153,0.20459775924682616,0.08,0.1181665,0.6484000000000001,0.5957142857142858,0.48999999999999994,0.6014285714285714,0.5457142857142857,0.3680380138043686,0.231,0.2545402766,0.2427701383
FJI,Fiji,2010,0.39,1.0,,0.75,0.32999999999999996,0.6175,,0.13961,0.503752,,0.436622714,0.7762927628,0.3371,0.106,0.14481496810913086,,0.5725371,0.9948,,,,,0.39997554275152175,0.139,0.30070827,0.219854135
FIN,Finland,2010,0.82,1.0,1.0,1.0,0.85,0.9339999999999999,0.7985714285714285,0.62399,0.805004,0.9457142857142857,1.0,0.8119604492,1.0,1.0,,1.0,0.8656165,1.0,0.9042857142857142,0.8300000000000001,0.687142857142857,0.7342857142857142,0.8754106843249999,0.881,0.8026632308,0.8418316154000001
FRA,France,2010,0.78,1.0,0.9383333333333335,0.75,0.73,0.8396666666666668,0.8914285714285715,0.59539,,0.71,1.0,0.8976496887000001,1.0,1.0,1.0,1.0,0.8872754999999999,1.0,0.8342857142857143,0.6578571428571429,0.6628571428571428,0.5957142857142858,0.8401536278651786,0.894,0.7477155686,0.8208577843
GAB,Gabon,2010,0.44999999999999996,1.0,0.87,0.5,0.36,0.6359999999999999,0.3871428571428571,0.11101,0.356288,0.3685714285714286,0.314651346,0.7449435233999999,,,0.03960685729980469,,0.6655548,0.953,0.6114285714285714,0.4321428571428571,0.5214285714285715,0.5528571428571428,0.4355880580407884,0.377,0.3474006652,0.3622003326
GMB,"Gambia, The",2010,0.27,1.0,0.9066666666666668,0.5,0.26,0.5873333333333333,0.5471428571428572,0.09554,0.34516800000000003,0.6342857142857143,0.17849952,0.8540554333,0.29842700284668566,0.17,,0.005,0.2555193,0.78,0.7071428571428572,0.6457142857142857,0.5814285714285715,0.6742857142857143,0.4235755785091678,0.25,0.306687963,0.2783439815
GEO,Georgia,2010,0.13,0.3843707567951521,0.8983333333333333,0.75,0.27,0.48654081802569704,0.5357142857142857,0.11642,0.426074,0.4242857142857143,0.386765646,0.2727272797000001,0.9044820201258919,0.919,1.0,0.12,0.4259042,0.8991,0.44571428571428573,0.48857142857142855,0.6171428571428572,0.5542857142857143,0.5335117144712611,0.506,0.4837228746,0.4948614373
DEU,Germany,2010,0.78,1.0,1.0,1.0,0.77,0.9100000000000001,0.9185714285714285,0.69553,0.5867020000000001,0.6642857142857144,1.0,0.8603967857,1.0,0.711,1.0,,0.8880397999999999,1.0,0.8571428571428571,0.7671428571428571,0.7000000000000001,0.6557142857142857,0.8315328580348214,0.904,0.7660910844,0.8350455422
GHA,Ghana,2010,0.48,1.0,0.8183333333333335,0.5,0.53,0.6656666666666666,0.41,0.05924,0.7566919999999999,0.49000000000000005,0.47689938600000004,0.7240330886999999,0.5391544483985765,0.16899999999999998,0.08870990872383118,0.033,0.23755880000000001,0.8526,0.5571428571428572,0.4678571428571429,0.5914285714285714,0.5314285714285715,0.4365465484174719,0.773,0.6145177364000001,0.6937588682
GRC,Greece,2010,0.6499999999999999,1.0,0.8016666666666667,0.75,0.66,0.7723333333333333,0.6528571428571429,0.38287,0.527096,0.5385714285714286,1.0,0.7174114799,1.0,,1.0,,0.6301051,1.0,0.6371428571428571,0.42714285714285716,0.5257142857142857,0.42714285714285716,0.7166283755294643,0.904,0.6886481642,0.7963240820999999
GTM,Guatemala,2010,0.44999999999999996,1.0,0.4533333333333334,0.5,0.30999999999999994,0.5426666666666666,0.557142857142857,0.15282,0.42847599999999997,0.31857142857142856,0.412283326,0.4105085754000001,,0.083,0.25503761768341066,,0.5647753999999999,0.9346,0.47000000000000003,0.36214285714285716,0.5728571428571428,0.47000000000000003,0.3956408014050692,0.588,0.4561634302,0.5220817151
GIN,Guinea,2010,0.21999999999999997,1.0,0.6366666666666667,0.5,0.050000000000000044,0.4813333333333333,0.26571428571428574,0.02851,0.29043599999999997,0.35714285714285715,0.072595686,0.30698219300000007,0.24726754436176304,,0.2341256856918335,,0.07172402,0.4393,0.41000000000000003,0.39428571428571424,0.5428571428571428,0.4785714285714286,0.28880661172991384,0.229,0.33717603679999997,0.2830880184
HTI,Haiti,2010,0.040000000000000036,1.0,0.54,0.75,0.16999999999999993,0.5,0.23142857142857143,0.06691,,0.2942857142857143,0.165301156,0.6669032669,,,,,0.2558573,0.7673,0.2814285714285714,0.2864285714285714,0.41714285714285715,0.3157142857142857,0.3369155007178572,0.446,0.3771402598,0.41157012989999997
HND,Honduras,2010,0.35,1.0,0.5933333333333334,0.5,0.37,0.5626666666666666,0.5014285714285713,0.12683,0.871732,0.3671428571428571,0.739211654,0.5373747253,0.43899999999999995,0.075,0.08562049865722657,,0.4449067,0.8779,0.5142857142857143,0.39428571428571424,0.5371428571428571,0.48,0.44234261193126045,0.412,0.41738500600000006,0.41469250300000005
HUN,Hungary,2010,0.54,1.0,0.875,1.0,0.67,0.817,0.6228571428571429,0.4338,0.570384,0.6028571428571429,0.994479656,0.7255445099,1.0,1.0,0.3699763774871826,0.56,0.8872414999999999,1.0,0.6028571428571429,0.44357142857142856,0.5585714285714286,0.41571428571428576,0.6742409134259847,0.81,0.6879743696,0.7489871848
ISL,Iceland,2010,0.4099999999999999,1.0,1.0933333333333333,1.0,0.81,0.8626666666666665,0.8128571428571428,0.63948,0.9278179999999999,0.8528571428571429,1.0,0.8133880424,1.0,0.667,1.0,,0.8754932,1.0,0.7542857142857143,0.7192857142857143,0.6757142857142858,0.6828571428571429,0.8388147740785714,0.883,0.7947343112,0.8388671556
IND,India,2010,0.51,0.8842741231802504,0.7866666666666667,0.25,0.39,0.5641881579693835,0.49857142857142855,0.05832,0.403878,0.4471428571428571,0.17150037199999998,0.34815231319999995,,0.252,0.29923396110534667,0.10400000000000001,0.20127520000000002,0.733,0.6028571428571429,0.49571428571428566,0.5828571428571429,0.5542857142857143,0.3752992761083699,0.711,0.6006863832,0.6558431916
IDN,Indonesia,2010,0.32999999999999996,1.0,0.7716666666666667,0.5,0.35,0.5903333333333334,0.5085714285714286,0.11429,0.517786,0.59,0.13221814599999998,0.3941613387999999,0.0948687460620482,0.14,0.1104079008102417,,0.4634626,0.8766,0.5657142857142857,0.5207142857142857,0.6157142857142857,0.5585714285714286,0.39459302167301535,0.692,0.5075645773999999,0.5997822886999999
IRN,"Iran, Islamic Rep.",2010,0.31999999999999995,0.8786677166654541,0.7550000000000001,0.25,0.05999999999999994,0.4527335433330909,0.5357142857142857,0.21571,0.57496,0.5428571428571428,0.43318123799999997,0.4060277939,1.0,,,,0.5582386,0.9975,0.5328571428571428,0.525,0.5928571428571429,0.45142857142857146,0.5975951369724489,0.158,0.20395781999999998,0.18097891
IRQ,Iraq,2010,0.04999999999999993,0.23132332498653574,,0.0,0.09000000000000008,0.09283083124663394,,0.05522,,,0.47732753800000005,0.7389564896,,,0.2965630292892456,,0.7313455000000001,0.9946,,,,,0.4557244482723114,0.432,0.32287492760000003,0.3774374638
IRL,Ireland,2010,0.87,1.0,1.0,1.0,0.85,0.944,0.6857142857142856,0.57386,0.851572,0.7942857142857143,1.0,0.8620436382,1.0,0.7040000000000001,,0.738,0.8298086000000001,1.0,0.8271428571428572,0.6942857142857142,0.7014285714285714,0.5757142857142857,0.7859909791732144,0.889,0.7712495565999999,0.8301247783
ISR,Israel,2010,0.21999999999999997,0.2290708278141662,0.8333333333333335,0.25,0.21999999999999997,0.35048083222949994,0.6985714285714285,0.43337,0.714318,0.52,0.881314468,0.7618830489999999,1.0,0.8109999999999999,0.2,,0.883664,1.0,0.6528571428571429,0.7164285714285714,0.6757142857142858,0.5442857142857143,0.6683379162410715,0.751,0.6278900504,0.6894450252
ITA,Italy,2010,0.78,1.0,0.7750000000000001,0.75,0.7,0.8009999999999999,0.7057142857142857,0.49143,0.61786,0.6314285714285715,1.0,0.7945107269,1.0,0.902,,,0.7517843999999999,1.0,0.5842857142857143,0.43,0.5628571428571428,0.39428571428571424,0.7047254682479592,0.855,0.7012515544,0.7781257772
JAM,Jamaica,2010,0.39,1.0,0.5983333333333334,0.25,0.44999999999999996,0.5376666666666667,0.5585714285714286,0.28195,0.8709960000000001,0.46714285714285714,0.609260226,0.7651451683,,0.303,0.3024594783782959,,0.5955621,0.9941,0.5599999999999999,0.4628571428571429,0.5728571428571428,0.4714285714285714,0.5262993496196084,0.784,0.6044639588,0.6942319794
JPN,Japan,2010,0.6299999999999999,1.0,0.9000000000000001,0.75,0.6799999999999999,0.792,0.8128571428571428,0.52417,0.502126,0.7285714285714285,1.0,0.8542963982,1.0,1.0,,,0.8847301000000001,1.0,0.78,0.715,0.6771428571428572,0.5671428571428572,0.7890026274224491,0.854,0.7163269758,0.7851634879
JOR,Jordan,2010,0.32999999999999996,1.0,1.0,0.25,0.30000000000000004,0.576,0.5871428571428572,0.18063,0.684694,0.5685714285714286,1.0,0.7814485359,0.896278789933944,,0.3546935796737671,,0.8557409,0.9982,0.7242857142857143,0.5885714285714286,0.6285714285714287,0.5714285714285714,0.6669518502304281,0.247,0.3601438046,0.3035719023
KAZ,Kazakhstan,2010,0.3799999999999999,1.0,0.7633333333333334,0.5,0.29000000000000004,0.5866666666666667,0.5099999999999999,0.17969,,0.5242857142857142,0.368799042,0.727041626,0.6991081592652879,0.826,0.3416161298751831,1.0,0.6958043,0.9997,0.4657142857142857,0.4328571428571429,0.5614285714285715,0.5,0.5847706678569937,0.239,0.2956944466,0.2673472233
KEN,Kenya,2010,0.15999999999999992,1.0,0.605,0.5,0.19999999999999996,0.493,0.42714285714285716,0.06368,0.8659760000000001,0.5771428571428572,0.35430915399999996,0.6982142639,0.2283246867760112,0.248,0.07485429644584655,0.057999999999999996,0.34034640000000005,0.6388,0.48714285714285716,0.33571428571428574,0.5399999999999999,0.44,0.3986029786415447,0.408,0.4724916488,0.4402458244
KOR,"Korea, Rep.",2010,0.37,1.0,0.8233333333333335,1.0,0.72,0.7826666666666666,0.7985714285714285,0.63902,,0.687142857142857,0.7023648259999999,0.6598146439,0.8282999999999999,1.0,,,0.7259062000000001,1.0,0.6457142857142857,0.49000000000000005,0.61,0.4714285714285714,0.7103861192785714,0.775,0.6583253384,0.7166626692
KWT,Kuwait,2010,0.49,1.0,0.9916666666666667,0.75,0.35,0.7163333333333333,0.5871428571428572,0.25239,0.44933199999999995,0.5071428571428571,0.451113986,0.8566785621999999,,0.273,0.15931460857391358,,0.9830997,1.0,0.6642857142857144,0.5750000000000001,0.64,0.5185714285714286,0.5218366451556677,0.32,0.41335387219999997,0.36667693609999996
KGZ,Kyrgyz Republic,2010,0.24,1.0,0.6666666666666667,0.25,0.24,0.4793333333333333,0.35285714285714287,0.09175,,0.4942857142857143,0.683036136,0.5690849686,0.8174006088869918,1.0,0.5194158554077148,,0.5624937,0.9872,0.3757142857142857,0.3378571428571429,0.5028571428571429,0.4257142857142857,0.5458355345546156,0.382,0.33401181700000004,0.3580059085
LAO,Lao PDR,2010,0.27,1.0,0.8116666666666668,0.75,0.13000000000000012,0.5923333333333334,0.5228571428571428,0.03291,0.23312400000000003,0.5357142857142857,0.120727218,0.6403990555,0.06752,,0.007771480083465576,,0.17436759999999998,0.8196,0.5528571428571428,0.5442857142857143,0.63,0.5571428571428572,0.3446604985327546,0.091,0.19027621739999998,0.1406381087
LVA,Latvia,2010,0.55,1.0,0.9150000000000001,0.75,0.65,0.773,0.6085714285714285,0.37621,0.7603960000000001,0.6357142857142858,0.736605548,0.6281435013000001,1.0,1.0,0.20472662448883056,0.85,0.8844721,1.0,0.5785714285714285,0.4378571428571429,0.5785714285714285,0.43857142857142856,0.6699006822903734,0.787,0.6686180829999999,0.7278090415
LBN,Lebanon,2010,0.18999999999999995,1.0,0.7416666666666667,0.75,0.32000000000000006,0.6003333333333334,0.35285714285714287,0.19646,,0.7785714285714286,0.599689292,0.5641499328999999,0.0956944153577661,,,,0.636642,0.999,0.5685714285714286,0.33499999999999996,0.6042857142857143,0.41428571428571426,0.5013909223398849,0.503,0.4507417768,0.4768708884
LSO,Lesotho,2010,0.31999999999999995,1.0,0.7333333333333334,0.5,0.37,0.5846666666666667,0.3657142857142857,0.03999,1.0,0.4542857142857143,0.943488884,0.7885719299,,0.94,1.0,0.078,0.4100862,0.6890000000000001,0.49142857142857144,0.4378571428571429,0.5514285714285714,0.45,0.5987407062258928,0.573,0.4952181478,0.5341090739
LBR,Liberia,2010,0.10999999999999988,1.0,0.7783333333333334,0.5,0.35,0.5476666666666666,0.3957142857142857,0.01892,0.15123199999999998,0.5142857142857143,0.15918771,0.491288681,,,0.33653879999999997,,0.2088623,0.375,0.6342857142857143,0.5914285714285714,0.6528571428571429,0.6042857142857143,0.3907446738469388,0.642,0.47395262120000003,0.5579763106
LTU,Lithuania,2010,0.5900000000000001,1.0,0.9266666666666667,1.0,0.67,0.8373333333333333,0.6514285714285714,0.44132,0.728122,0.6371428571428571,0.96890068,0.7240892029,1.0,1.0,0.08606669306755066,0.513,0.8822753,1.0,0.5814285714285715,0.4828571428571428,0.5457142857142857,0.46714285714285714,0.6693430101051149,0.853,0.6921203018,0.7725601509
LUX,Luxembourg,2010,0.77,1.0,1.0,1.0,0.87,0.9279999999999999,0.7942857142857142,0.71375,0.6486000000000001,0.6785714285714286,1.0,0.8976813888999999,1.0,1.0,1.0,,0.9116742999999999,1.0,0.88,0.8135714285714286,0.7542857142857143,0.7342857142857142,0.8641691055562499,0.876,0.8197217226,0.8478608613
MDG,Madagascar,2010,0.19999999999999996,1.0,0.63,0.75,0.42000000000000004,0.6,0.3357142857142857,0.03008,0.39825,0.4228571428571429,0.373566866,0.6348721694999999,0.06399968091650758,,0.04427854,,0.10810560000000001,0.23819999999999997,0.39142857142857146,0.35714285714285715,0.5657142857142857,0.4242857142857143,0.281048370904742,0.226,0.3512162208,0.2886081104
MWI,Malawi,2010,0.14,1.0,0.8783333333333333,0.75,0.27,0.6076666666666667,0.3228571428571428,0.01811,0.416638,0.43,0.31876046599999996,0.8907227707,,0.023,0.29898924827575685,0.196,0.3871772,0.32200000000000006,0.58,0.5528571428571428,0.5885714285714286,0.5700000000000001,0.37116771245384195,0.52,0.4779049634,0.4989524817
MYS,Malaysia,2010,0.45999999999999996,1.0,0.8083333333333332,0.75,0.32000000000000006,0.6676666666666666,0.71,0.34375,0.722662,0.6957142857142857,0.33582112799999997,0.6588330078,0.343877,,0.15177552700042723,,0.7436784,0.9993,0.7071428571428572,0.5807142857142856,0.67,0.63,0.5493075636482677,0.324,0.41809393759999997,0.3710469688
MDV,Maldives,2010,0.42000000000000004,1.0,,1.0,0.27,0.6725,,0.28859,0.7914760000000001,,0.8990262039999999,0.5992021561,0.513715036894103,0.997,0.21444619999999998,,0.7235739999999999,0.9947,,,,,0.6096868164161752,0.615,0.5027358448,0.5588679223999999
MLI,Mali,2010,0.29999999999999993,0.66164993519079,0.7933333333333333,1.0,0.5,0.6509966537048246,0.3657142857142857,0.02907,0.644128,0.29857142857142854,0.133796144,0.43733753200000003,0.48840000000000006,0.027000000000000003,0.12427926063537598,,0.171108,0.49929999999999997,0.4657142857142857,0.36428571428571427,0.5399999999999999,0.5028571428571429,0.32599006590085056,0.597,0.5454775422,0.5712387711
MLT,Malta,2010,0.52,1.0,1.0,1.0,0.63,0.8300000000000001,0.6357142857142857,0.48627,0.71616,0.7314285714285714,1.0,0.6697417068,1.0,0.7929999999999999,0.24,,0.8617865,1.0,0.7271428571428571,0.6178571428571428,0.6471428571428571,0.5585714285714286,0.6828009593535713,0.826,0.7408157588,0.7834078793999999
MRT,Mauritania,2010,0.24,0.6793444898153691,0.725,0.5,0.27,0.4828688979630738,0.36,0.07981,0.384161,0.3614285714285714,0.14630031599999999,0.37364028930000004,0.48683750000000003,0.09300000000000001,0.6272648000000001,,0.4306102,0.9289000000000001,0.4557142857142857,0.35357142857142854,0.4714285714285714,0.5228571428571429,0.41892430658125,0.473,0.33886010639999997,0.4059300532
MUS,Mauritius,2010,0.6399999999999999,1.0,0.8916666666666667,1.0,0.63,0.8323333333333334,0.5971428571428571,0.26469,0.453364,0.5614285714285715,0.4043406,0.4768314362,0.961406687145478,,0.6912882804870606,,0.7920552999999999,0.9985,0.6885714285714286,0.5700000000000001,0.6757142857142858,0.6271428571428571,0.6509482044665673,0.775,0.6677340984,0.7213670491999999
